"Country.Code","City","Location","Latitude","Longitude","Pollutant","Source.Name","Unit","Value","Last.Updated","Country.Label"
"FR","Bouches-du-Rhône","FR02022",43.6755544389705,4.62861441719004,"NO2","EEA France","µg/m³",31.7,"2024-01-29T18:00:00+01:00","France"
"FR","Saône-et-Loire","FR32005",46.6666401423631,4.36666568034079,"NO2","EEA France","µg/m³",47.3,"2024-01-29T18:00:00+01:00","France"
"FR","Bouches-du-Rhône","FR03029",43.5302972250095,5.44138313680286,"PM10","EEA France","µg/m³",20.4,"2024-01-29T18:00:00+01:00","France"
"FR","Alpes-de-Haute-Provence","FR24039",43.9335199525261,5.71170417210011,"PM10","EEA France","µg/m³",5.1,"2024-01-29T18:00:00+01:00","France"
"FR","Loir-et-Cher","FR34061",47.5945165359368,1.30173969506476,"NO2","EEA France","µg/m³",19.2,"2024-01-29T18:00:00+01:00","France"
"FR","Finistère","FR19014",48.3996394541087,-4.46723207639797,"NO2","EEA France","µg/m³",17.8,"2024-01-29T17:00:00+01:00","France"
"FR","Finistère","FR19014",48.3996394541087,-4.46723207639797,"PM10","EEA France","µg/m³",90.8,"2024-01-29T16:00:00+01:00","France"
"FR","Bouches-du-Rhône","FR02020",43.510559975903,5.21972384044637,"PM2.5","EEA France","µg/m³",9.1,"2024-01-29T17:00:00+01:00","France"
"FR","Reunion","FR38020",-21.009739859322,55.2727106111753,"SO2","EEA France","µg/m³",1.2,"2024-01-29T16:00:00+01:00","France"
"FR","Yonne","FR26019",47.8005658610427,3.57639077544232,"NO2","EEA France","µg/m³",15.75,"2018-07-11T10:00:00+02:00","France"
"FR","Nord","FR11007",50.6408018273658,3.07477152078998,"NO","EEA France","µg/m³",21.5,"2024-01-12T11:00:00+01:00","France"
